Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Fiji,2023-03-09,68897,883,0,0,7685.588837674189,1.2816232927413385
Finland,2023-03-09,1462976,8936,0,0,26404.086979340944,0.61080974670808
France,2023-03-09,39860410,166165,0,0,41557.16298618353,0.37981504167368313
Gabon,2023-03-09,48981,306,0,0,2200.673217931392,0.6247320389538801
Gambia,2023-03-09,12598,372,0,0,521.2971269485539,2.9528496586759805
Georgia,2023-03-09,1827537,16971,0,0,45812.4048205456,0.9286268896334248
Germany,2023-03-09,38241231,168808,0,0,44976.24957469102,0.479814597589463
Ghana,2023-03-09,171229,1462,0,0,551.0549450655546,0.8538273306507659
Greece,2023-03-09,5548487,34779,0,0,53232.82346367514,0.6268195275576928
Grenada,2023-03-09,19680,238,0,0,17490.379402589784,1.2093495934959348
Guatemala,2023-03-09,1238049,20182,0,0,6910.465072079493,1.630145495049065
Guinea,2023-03-09,38267,467,0,0,291.3851068379062,1.2203726448375884
Guinea-Bissau,2023-03-09,8960,176,0,0,455.2850155335524,1.9642857142857144
Guyana,2023-03-09,73075,1298,0,0,9290.466449433545,1.776257269928156
Haiti,2023-03-09,34202,860,0,0,299.950896875282,2.51447283784574
Holy See,2023-03-09,29,0,0,0,3584.672435105068,0
Honduras,2023-03-09,472250,11111,0,0,4767.982740962591,2.352779248279513
Hungary,2023-03-09,2196804,48762,0,0,22740.418307825286,2.2196791338690205
Iceland,2023-03-09,209137,263,0,0,61285.567765567765,0.1257548879442662
India,2023-03-09,44690298,530776,0,0,5616.138203837737,1.1035749408580358
Indonesia,2023-03-09,6737918,160937,0,0,2463.377011230778,2.388527138501834
Iran,2023-03-09,7571996,144922,0,0,9015.037249613071,1.9139207152248892
Iraq,2023-03-09,2465545,25375,0,0,6129.765221224547,1.029184216876999
Ireland,2023-03-09,1704502,8708,0,0,34519.49007208884,0.5108823574275654
Israel,2023-03-09,4803164,12325,0,0,55492.36032733251,0.2566016900526403
Italy,2023-03-09,25603510,188322,0,0,42579.3019639829,0.707021146709965
Jamaica,2023-03-09,154287,3511,0,0,5210.354992518137,2.27562918457161
Japan,2023-03-09,33288313,72909,0,0,25392.253727662115,0.213607503793626
Jordan,2023-03-09,1746997,14122,0,0,17122.150632060326,0.808358571880776
Kazakhstan,2023-03-09,1498668,19071,0,0,7981.527325318545,1.2725300066459015
Kenya,2023-03-09,342937,5688,0,0,637.7695908412109,1.6586136812300802
